"Add To Cart","Add To Cart"
"Choose Side","Choose Side"
"Personalization Options","Personalization Options"
"ADD TEXT","ADD TEXT"
"UPLOAD IMAGE","UPLOAD IMAGE"
"CLIP ART","CLIP ART"
"Template","Template"
"Add Text","Add Text"
"Update Text","Update Text"
"Text Style","Text Style"
"Text Effects","Text Effects"
"Effect","Effect"
"Normal","Normal"
"Curved","Curved"
"Arc","Arc"
"Small to Large","Small to Large"
"Large to Small Toped","Large to Small Toped"
"Large to Small Bottom","Large to Small Bottom"
"Bulge","Bulge"
"Radius","Radius"
"Spacing","Spacing"
"Reverse","Reverse"
"Select Clip Art Category","Select Clip Art Category"
"Sorry, no images found.","Sorry, no images found."
"Max Length","Max Length"
